Time (s),Manipulability,Joint Velocities
4.278322458267212,0.9561088569429896,"[1.3073128175742494, 0.08918468777057428, 0.7189777506061847, 0.3564354336191579, -0.2423340504858149, 0.7527391052153714, -0.15982539198960546, 0.41652388126958556, -0.9033861209282534, -0.5928404243511401]"
4.30730128288269,0.9403510014480874,"[1.3249786235361782, 0.08787644325681748, 0.744120631387839, 0.3738059561245601, -0.24288273656719975, 0.7621492119204866, -0.16015894451591015, 0.42034043972047236, -0.914926999603641, -0.6388816410959226]"
4.316824674606323,0.9250108904151241,"[1.3434997527495276, 0.08680584215972935, 0.7707946432951575, 0.3926498308504466, -0.24372460113058392, 0.771948024443421, -0.16061470619203758, 0.4226334982100275, -0.9271342396285676, -0.6889673827391851]"
4.350056171417236,0.9101388501294039,"[1.3628674261837292, 0.08599248804962502, 0.7989831023658195, 0.41301909781949464, -0.2448182568227929, 0.7822448193114648, -0.16116774846093465, 0.42311728711946966, -0.9399660526927998, -0.7434555876603792]"
4.375565767288208,0.8957867793680577,"[1.3828204919527285, 0.08549139383733394, 0.8282514413538972, 0.4345575686700999, -0.24573731490531556, 0.7933703810950141, -0.16180943856484498, 0.42155827578819494, -0.953084837278473, -0.8018796609981917]"
4.404954671859741,0.8820066967635922,"[1.4024222351222153, 0.08512552267252757, 0.857142078056302, 0.4556075713508058, -0.24462415386595576, 0.8051669831797741, -0.16189915459225898, 0.41652449056685137, -0.9653500254742412, -0.8623407645348732]"
4.433512926101685,0.8688597267410868,"[1.425468405431999, 0.0851329392217267, 0.8924927804352065, 0.4825416998299675, -0.2474926946575521, 0.8162709752004476, -0.1627345656451938, 0.4085944413606424, -0.981101538366752, -0.936854397594407]"
4.469459772109985,0.85639662664587,"[1.4457922155752634, 0.08661792701039249, 0.9225319031625397, 0.5023423695428798, -0.2469151036211971, 0.8288648953153114, -0.16269122759860136, 0.4026780172685634, -0.9949654175128209, -0.9946235236416827]"
4.5369322299957275,0.84468296849865,"[1.193986491271421, 0.07363884747856753, 0.4326135604232828, 0.24262111507929837, -0.24797785159579475, 0.841206368547665, -0.16353826627683077, 0.35019957749208486, -0.38554437074181197, -0.5693903998856717]"
4.566721200942993,0.838262274402218,"[1.1973293052216627, 0.060507773936307775, 0.4184188368323088, 0.24025773283477844, -0.24957994164419062, 0.8551704626510005, -0.11965116274516792, 0.33649678175276704, -0.3874165984060255, -0.6045954989909849]"
4.6288323402404785,0.8331591342785895,"[1.199535352569036, 0.042380658415676446, 0.3933346108130104, 0.22979797417119943, -0.25096729414876157, 0.8700929866881733, -0.0591493583448506, 0.3156346283119278, -0.38935500524413263, -0.6375116762335266]"
4.644407033920288,0.8296717264165929,"[1.2021146080785894, 0.02463481088767769, 0.36673095934328875, 0.2180309967268235, -0.25234687608053924, 0.88569657002689, 0.002526715650976894, 0.2951478891162744, -0.39132331941899134, -0.6666552215987203]"
4.6923089027404785,0.8277890371348026,"[1.2052647923312048, 0.008351133968720791, 0.34050532893777186, 0.206078479688889, -0.25371877188459585, 0.9020468691833248, 0.06260911067898137, 0.2766617623019766, -0.39333055903220293, -0.6917936992857149]"
4.7096874713897705,0.8274355678369103,"[1.2091479415620379, -0.0054061004016033665, 0.31666112301204347, 0.19521916541338913, -0.25508762143422553, 0.9192199318653466, 0.1183221792768999, 0.26170819679884083, -0.39538891733197284, -0.713145251378949]"
4.733041763305664,0.8284753753402823,"[1.2138752812754023, -0.01570674863689543, 0.29708222327768313, 0.18675058260434887, -0.2564621126987886, 0.9373007047855213, 0.16720840436595655, 0.25155993668586146, -0.39751410447006574, -0.7313662664873292]"
4.777907133102417,0.8307231291910249,"[1.2195009180453722, -0.021847579558192158, 0.28333393808204593, 0.18185452912876945, -0.25785457639993214, 0.9563814068158202, 0.20739770851875883, 0.24711557233003653, -0.399724717690465, -0.7474752735049872]"
4.80086874961853,0.8339602603724092,"[1.2260169697728984, -0.023408756374491687, 0.27649859406780436, 0.1814809047323533, -0.25928145438452027, 0.9765701468895024, 0.23779146489489236, 0.24886017375180558, -0.4020365660180406, -0.7627083542178367]"
4.825888395309448,0.8379537715278468,"[1.2333647540095225, -0.020249209222849233, 0.2771662838035446, 0.1862966458437009, -0.26074599298716916, 0.9979768143342158, 0.2580624987695541, 0.2568751640646483, -0.4044618291695316, -0.778403653980163]"
